ko	og	count
K10419	1537945at2759	1
K04213	1011272at2759	129
K04213	985737at2759	10
K03912	1124079at2759	400
K00876	1383500at2759	3
K00876	140051at2759	28
K00876	1489997at2759	3
K00876	295827at2759	5
K00876	929897at2759	83
K18123	1238597at2759	38
K14154	499556at2759	2
K14154	621894at2759	4
K04941	1178937at2759	33
K02179	683074at2759	30
K20248		
K18364		
K05141	1081476at2759	9
K05141	559890at2759	7
K05141	657715at2759	1
K10408	1064192at2759	1
K10408	1238597at2759	38
K10408	1263405at2759	62
K10408	1273735at2759	2
K10408	1292512at2759	2
K10408	138831at2759	3
K10408	1469374at2759	1
K10408	1492at2759	103
K10408	149774at2759	1
K10408	1583452at2759	42
K10408	1656421at2759	1
K10408	16667at2759	3
K10408	198826at2759	1
K10408	2079at2759	49
K10408	26380at2759	36
K10408	288151at2759	2
K10408	3185at2759	20
K10408	404674at2759	21
K10408	40774at2759	2
K10408	462425at2759	1
K10408	576470at2759	1
K10408	601207at2759	1
K10408	6295at2759	36
K10408	873881at2759	1
K10408	923272at2759	57
K18276		
K15091		
K15125		
K22497		
K14184	360509at2759	66
K22717		
K10952		
K04212	890529at2759	71
K00039	1210617at2759	25
K14012	1130151at2759	27
K14012	113728at2759	1
K14012	1175850at2759	40
K14012	690078at2759	11
K12412	1153140at2759	1
K12412	1276420at2759	1
K12412	1516449at2759	21
K12412	1543247at2759	5
K12412	1609924at2759	9
K12412	1819756at2759	1
K19436		
K20769	1247045at2759	377
K02781	1596502at2759	7
K14683	976094at2759	30
K11618		
K18493	1014909at2759	30
K18493	1070389at2759	18
K20259		
K12838	1101846at2759	19
K12838	861359at2759	14
K01474		
K10001		
K10683	1514637at2759	164
K10683	507939at2759	2
K10683	854133at2759	43
K02369	750735at2759	15
K24075		
K16039		
K04636	754573at2759	211
K04079	1233632at2759	248
K04079	1380051at2759	40
K04079	1451317at2759	1
K04079	634455at2759	112
K04079	917181at2759	14
K04079	924636at2759	89
K04079	946128at2759	21
K04079	94996at2759	56
K00845	943224at2759	5
K20216	1576308at2759	317
K20216	911920at2759	22
K05229	1451976at2759	8
K05229	355941at2759	10
K00902	1345916at2759	22
K00902	1533260at2759	16
K00902	79804at2759	20
K00851	1275465at2759	17
K04362		
K18286		
K02009		
K03416		
K12815	1034142at2759	59
K12815	354219at2759	182
K23673		
K03542	1327341at2759	7
K13897	1565344at2759	98
K02127	1314411at2759	18
K02127	831322at2759	77
K15568		
K02604	1404162at2759	19
K02604	34489at2759	40
K05459	1644517at2759	39
K08553	669799at2759	32
K03020	1398114at2759	47
K03020	614557at2759	57
K15745	303188at2759	1
K15745	392025at2759	20
K15745	873686at2759	25
K14005	100998at2759	32
K14005	168884at2759	1
K14005	202058at2759	18
K13247	314267at2759	12
K13247	840631at2759	15
K15185	558558at2759	36
K02184	1204639at2759	163
K02184	249504at2759	27
K02184	263102at2759	3
K19442		
K03794	1512237at2759	5
K22669		
K21898		
K21618	515900at2759	23
K21618	630541at2759	78
K21618	824020at2759	35
K01805	1044493at2759	7
K01805	514396at2759	159
K25368		
K18551	990978at2759	22
K24623		
K15406	828506at2759	21
K01058		
K05412	1001267at2759	1
K05412	1051626at2759	11
K05412	1083437at2759	9
K11022		
K04566		
K10251	1190834at2759	47
K10251	895581at2759	67
K10251	913128at2759	99
K04286	1095345at2759	37
K04286	1294084at2759	50
K04286	706068at2759	8
K04286	732872at2759	31
K04286	907115at2759	47
K04286	940057at2759	79
K05203	188544at2759	473
K00062	1085241at2759	13
K05068	1236351at2759	7
K12403	1307450at2759	81
K15899		
K17104		
K05605	1234730at2759	26
K05605	1369862at2759	41
K12555		
K05254	1553051at2759	1
K05254	1600403at2759	7
K04694	1135696at2759	39
K04694	1545889at2759	2
K13485	1547390at2759	7
K07335		
K16950		
K20975		
K18644	1398991at2759	34
K18644	1597535at2759	23
K00373		
K23737		
K10810		
K22323		
K16185	951213at2759	23
K04119	1016440at2759	178
K12342		
K08439	1262707at2759	15
K08439	1502139at2759	1
K09481	1544778at2759	45
K09481	1634609at2759	30
K12946	1520602at2759	51
K12946	1587140at2759	59
K12946	1589808at2759	19
K07378	1564483at2759	1
K07378	754103at2759	307
K07378	992858at2759	31
K02524	1472477at2759	1
K06669	119789at2759	43
K06669	444312at2759	26
K06247	156553at2759	28
K10790	1365966at2759	22
K01430		
K01176	179324at2759	2
K01176	665362at2759	71
K03524	1392751at2759	26
K07252	1155557at2759	86
K07252	1312138at2759	25
K07252	1412680at2759	3
K07252	663893at2759	44
K24862		
K02793		
K02745		
K15055		
K02937	1544778at2759	45
K09051	1253555at2759	1
K09051	993584at2759	3
K05071	476828at2759	6
K05071	609201at2759	2
K10979		
K03983	1124079at2759	400
K15794		
K01674	1377476at2759	226
K01674	298776at2759	2
K00461	385042at2759	110
K00461	626762at2759	13
K00262	1369072at2759	81
K00262	583605at2759	1038
K00262	692851at2759	42
K01294	101221at2759	97
K01294	1518257at2759	37
K05712		
K09340	1391465at2759	27
K19464	122009at2759	1
K19464	368523at2759	9
K19464	392180at2759	5
K19464	556467at2759	18
K12477	377342at2759	60
K12182	1213216at2759	28
K12182	227882at2759	56
K12182	561804at2759	106
K12182	828765at2759	22
K20461		
K21318		
K21791		
K14279		
K08289		
K06656		
K00125		
K07861	1091615at2759	171
K12482	753155at2759	67
K07868	1091615at2759	171
K07868	533443at2759	25
K02961	1313009at2759	1
K02961	1515865at2759	24
K02961	1566419at2759	1
K04683		
K11420		
K05134	1276760at2759	1
K05134	1456451at2759	6
K05134	399304at2759	1
K23657		
K15184	558558at2759	36
K13891		
K19958		
K11261		
K20232	1234126at2759	1
K20232	1409717at2759	1
K20232	1605550at2759	1
K19844	30947at2759	1
K13967		
K07419	467733at2759	159
K07419	702827at2759	1009
K18253		
K17225		
K14412	551308at2759	159
K21238		
K14465		
K02411		
K12816	967109at2759	38
K16442		
K07345		
K12409	225119at2759	8
K09128		
K23121		
K03409		
K14573	1181291at2759	22
K14573	775799at2759	62
K08960	1097975at2759	181
K08960	1480989at2759	1
K08960	889559at2759	35
K13821		
K16859	1364454at2759	61
K02771	702827at2759	1009
K05509	1575018at2759	95
K12897	1423983at2759	9
K12897	1429970at2759	1
K12897	1484811at2759	19
K12897	1524134at2759	87
K12897	1533297at2759	67
K04168	1153238at2759	31
K04569	1385827at2759	70
K04569	1527306at2759	21
K04569	543832at2759	142
K22234	1380804at2759	26
K10986		
K22501		
K00565	1390749at2759	25
K00565	408001at2759	170
K00565	538388at2759	34
K17256	340670at2759	31
K17256	756896at2759	2
K17256	826997at2759	952
K17256	968788at2759	56
K17256	972494at2759	6
K22083		
K00365	906540at2759	16
K10773	1280721at2759	5
K10773	1303452at2759	24
K10773	1322642at2759	22
K18610		
K23671		
K01584		
K05262	1014063at2759	1
K05262	1415722at2759	8
K18350		
K11073		
K23055		
K06102	110948at2759	20
K03494	891104at2759	92
K03494	940057at2759	79
K03680	626651at2759	1
K03680	797227at2759	23
K03680	818383at2759	1
K09049	696548at2759	18
K15171	1487241at2759	285
K15171	1617752at2759	22
K18109		
K04778		
K15996		
K05618	1184392at2759	84
K00804	381154at2759	33
K00804	981769at2759	38
K05386		
K02406		
K18207	567582at2759	84
K18207	820160at2759	13
K01834	1112626at2759	59
K01834	649559at2759	66
K01834	804949at2759	33
K04992	1379516at2759	44
K06755	173520at2759	13
K11072		
K12814	354219at2759	182
K01218	345525at2759	1
K01218	792920at2759	2
K08734	735423at2759	80
K23191		
K05353	1059849at2759	33
K13414	226722at2759	28
K13414	630495at2759	12
K10086	434316at2759	47
K06740	324083at2759	9
K00549	237390at2759	12
K00549	763112at2759	3
K17898		
K10555		
K05136	1078220at2759	21
K05136	527347at2759	1
K09564	1484092at2759	20
K15020		
K14656		
K06516	1389571at2759	5
K17334	95502at2759	28
K07657		
K21794		
K07259		
K05126	1112022at2759	80
K05126	1156915at2759	1
K05126	1240305at2759	2
K05126	153428at2759	10
K05126	206803at2759	3
K05126	220433at2759	41
K05126	539311at2759	129
K05126	560553at2759	42
K05126	637711at2759	2
K05126	707342at2759	21
K18788		
K19748	1277705at2759	11
K19748	1489354at2759	11
K12687		
K18293		
K00977	1212057at2759	19
K23328		
K04250	940057at2759	79
K19258		
K05405	1144279at2759	6
K05405	1186029at2759	1
K05405	1211560at2759	1
K20479	183925at2759	16
K06268	1027207at2759	1
K06268	1240075at2759	5
K06268	1266853at2759	49
K06268	1271942at2759	285
K06268	1331864at2759	27
K06268	1369072at2759	81
K06268	1498035at2759	2
K06268	1580776at2759	1
K06268	1638048at2759	1
K06268	442523at2759	51
K06268	487337at2759	16
K06268	539462at2759	17
K04977	1186086at2759	18
K04977	31682at2759	5
K04977	738147at2759	104
K04701	1135696at2759	39
K13457	1021451at2759	12
K13457	1085197at2759	22
K13457	1091232at2759	1
K13457	1106741at2759	4
K13457	1113380at2759	1
K13457	113584at2759	50
K13457	114368at2759	395
K13457	1291630at2759	13
K13457	1295759at2759	12
K13457	1310488at2759	14
K13457	1311762at2759	20
K13457	1348484at2759	23
K13457	1382533at2759	18
K13457	1390311at2759	3
K13457	150904at2759	2
K13457	169620at2759	28
K13457	171719at2759	3
K13457	172467at2759	85
K13457	176572at2759	15
K13457	181914at2759	1
K13457	187778at2759	17
K13457	225083at2759	9
K13457	250247at2759	1
K13457	258550at2759	2
K13457	264888at2759	2
K13457	284114at2759	20
K13457	287114at2759	30
K13457	339420at2759	1
K13457	340670at2759	31
K13457	341402at2759	2
K13457	378148at2759	42
K13457	40683at2759	11
K13457	428855at2759	7
K13457	455041at2759	1
K13457	463677at2759	2
K13457	463722at2759	4
K13457	484111at2759	17
K13457	62693at2759	16
K13457	764594at2759	16
K13457	826997at2759	952
K13457	94736at2759	60
K13457	992188at2759	26
K13457	996286at2759	2
K12362	355412at2759	35
K16343	113584at2759	50
K16343	1209603at2759	68
K16343	1300171at2759	1
K16343	146995at2759	2
K16343	707272at2759	12
K16343	841851at2759	16
K16343	94736at2759	60
K10623		
K16380		
K10264	1046098at2759	130
K10264	1321151at2759	27
K06646	993640at2759	233
K25051		
K06164		
K02829		
K02178	1411806at2759	44
K02178	441269at2759	1
K20884	1510544at2759	43
K20884	1534271at2759	16
K20884	747123at2759	32
K23663		
K24018		
K18090		
K02220	993640at2759	233
K02628		
K00203		
K02251		
K03655	142915at2759	7
K11090	882725at2759	31
K10211		
K02564	1425290at2759	23
K02564	165663at2759	33
K00602	324473at2759	25
K09123	691380at2759	1
K10039		
K19568		
K18240		
K01839		
K06621	1435166at2759	31
K15960		
K21124	1353706at2759	11
K12576		
K21111	241659at2759	35
K00395		
K20726	1447031at2759	39
K20726	1452247at2759	28
K21302		
K05823		
K12636		
K12833	1557122at2759	110
K12833	1603846at2759	21
K12833	950150at2759	7
K22898		
K24303		
K04032		
K22331		
K12249	1430313at2759	2
K16182		
K01659	691172at2759	11
K01997		
K00907	184at2759	22
K00907	205321at2759	2
K00907	218222at2759	22
K00907	30060at2759	1
K00907	330091at2759	611
K00907	38313at2759	19
K00907	529368at2759	2
K00907	871596at2759	5
K23834		
K10740	1274776at2759	24
K10740	1594928at2759	19
K08475		
K12313	649708at2759	333
K12313	993446at2759	9
K01720	822621at2759	18
K01846		
K02878	1033833at2759	103
K02878	1420525at2759	11
K02878	1510587at2759	11
K02878	1547267at2759	24
K18357		
K10415	1126579at2759	1
K10415	1453532at2759	45
K20657	372122at2759	7
K14633		
K20596		
K16175	16105at2759	1
K16175	284114at2759	20
K16175	287114at2759	30
K16175	442171at2759	1
K16175	826997at2759	952
K08039	1029129at2759	81
K08039	1454612at2759	10
K01619	1349979at2759	13
K01619	956763at2759	41
K08058	865957at2759	9
K08847	769579at2759	15
K16439		
K18671	1484694at2759	90
K13024	138859at2759	1
K13024	93740at2759	35
K22600		
K14310	1040292at2759	128
K14310	90119at2759	22
K15226		
K01521	702827at2759	1009
K07091		
K11530		
K02753		
K17689	467733at2759	159
K00623	1597666at2759	1
K00623	559299at2759	113
K00623	649708at2759	333
K14299	944756at2759	50
K01427	183108at2759	6
K01427	719800at2759	102
K01427	776380at2759	26
K01920		
K12959	1468974at2759	33
K10012		
K00923	204282at2759	97
K02718	1646691at2759	4
K00894	1469912at2759	43
K00894	349250at2759	27
K25309		
K21654		
K08533	1240230at2759	46
K08533	583704at2759	39
K01906	877891at2759	35
K22330		
K14318	1149034at2759	20
K00579		
K05156	672843at2759	35
K15734	1373099at2759	94
K15734	921996at2759	84
K12111		
K14554	388820at2759	21
K14554	911098at2759	23
K13495	508327at2759	727
K14175	372122at2759	7
K14175	449049at2759	7
K23611		
K06625	1595421at2759	32
K12864	724270at2759	18
K12864	809282at2759	20
K14170		
K05454	1596773at2759	6
K03587		
K16675	1052049at2759	1
K16675	1075690at2759	4
K16675	1189427at2759	3
K16675	1264614at2759	123
K16675	1491968at2759	178
K16675	445686at2759	86
K02788		
K04395	1327703at2759	22
K09869	1152704at2759	228
K09869	1246320at2759	42
K14602		
K08491	1204812at2759	53
K08491	1493840at2759	9
K18254		
K13391		
K07292	622732at2759	47
K23060		
K09243	1585875at2759	1
K01611	264244at2759	93
K01611	725914at2759	66
K01611	932490at2759	32
K01484		
K00242		
K00827	145181at2759	97
K00827	97083at2759	29
K05222	693004at2759	67
K04833	15245at2759	1
K04833	56920at2759	61
K00460	385042at2759	110
K15096		
K11239		
K04336		
K00765	842823at2759	7
K03366		
K03349	570797at2759	21
K10364	1085166at2759	22
K10364	1200844at2759	33
K10364	152378at2759	21
K10364	1877478at2759	1
K10364	34110at2759	49
K10364	368239at2759	200
K06628	1309031at2759	21
K02946	1106156at2759	49
K02946	1528895at2759	19
K02946	1569325at2759	4
K04137	1095345at2759	37
K04137	1332737at2759	2
K20018	1560536at2759	1
K00558	1519639at2759	18
K00558	1628171at2759	154
K00558	514396at2759	159
K00558	53070at2759	1
K00558	898916at2759	29
K11487	1203951at2759	48
K06443	815606at2759	7
K06443	989929at2759	6
K10757	508327at2759	727
K17373		
K05674	138195at2759	268
K05674	1402126at2759	1
K05674	1766182at2759	1
K08295		
K21634	1283205at2759	137
K21634	561804at2759	106
K13916	1534863at2759	15
K16180		
K17489		
K17462		
K13315		
K09517	687505at2759	24
K19435		
K06619	1047190at2759	43
K06619	1256213at2759	12
K06619	127698at2759	1
K06619	1384699at2759	1
K06619	1582775at2759	1
K06619	173077at2759	59
K06619	182823at2759	21
K06619	206803at2759	3
K06619	362286at2759	9
K06619	408584at2759	19
K06619	539311at2759	129
K06619	556386at2759	24
K06619	933071at2759	161
K06619	938929at2759	57
K04297	978296at2759	17
K04261	972015at2759	76
K12970		
K18584	1510635at2759	1
K18584	1765235at2759	2
K18584	649708at2759	333
K12748		
K21598	396012at2759	15
K21598	722438at2759	2
K23527		
K25211		
K13849	9974at2759	13
K20801		
K21675		
K05104	933071at2759	161
K05871	43729at2759	28
K15868		
K03013	1255823at2759	31
K03013	1535581at2759	3
K03013	921996at2759	84
K12389	1037817at2759	21
K04715	681139at2759	63
K08658	1312138at2759	25
K08658	1458907at2759	4
K08658	1607650at2759	24
K08658	995252at2759	15
K16968		
K15894		
K01451		
K08914	1037903at2759	4
K08914	1457167at2759	7
K08914	961261at2759	17
K08914	986689at2759	3
K08914	991539at2759	12
K01647	1131452at2759	40
K01647	691172at2759	11
K17690	467733at2759	159
K12361	355412at2759	35
K14140	688334at2759	71
K09458	1014523at2759	37
K09458	1428265at2759	21
K09458	19161at2759	53
K09458	68112at2759	7
K22329	695335at2759	5
K22329	810772at2759	59
K22329	856958at2759	52
K21173		
K09008	1116929at2759	1
K09008	1520323at2759	2
K09008	1569969at2759	18
K09008	933620at2759	79
K04284	1255241at2759	23
K04284	1294084at2759	50
K04284	776592at2759	1
K04284	890529at2759	71
K04284	994073at2759	24
K12334	1493586at2759	7
K12334	1596502at2759	7
K04690	509772at2759	67
K00835		
K10838	562905at2759	1
K10838	750482at2759	21
K10838	892773at2759	42
K07825	704786at2759	64
K10898	1175081at2759	20
K10898	1471232at2759	9
K04680	1624054at2759	34
K15877	862538at2759	3
K03432		
K05705	449563at2759	1
K05705	539311at2759	129
K05705	938929at2759	57
K05859	368239at2759	200
K05859	52746at2759	107
K19726		
K18529	281487at2759	31
K18529	999269at2759	408
K15343		
K14190	1178383at2759	23
K02453		
K06129	828056at2759	63
K09994		
K19631	395665at2759	22
K19631	982213at2759	19
K07308		
K16529	1466606at2759	1
K16529	69816at2759	51
K09057	1023460at2759	33
K18568		
K11242	1341150at2759	1
K04893	1216320at2759	1
K04893	469107at2759	30
K00702		
K03143	1220881at2759	20
K03143	708294at2759	27
K02387		
K00721	1044906at2759	1
K00721	1445102at2759	19
K15778		
K15018		
K02703	801765at2759	9
K22362		
K02698	1480118at2759	4
K10960	894979at2759	6
K15304	1158095at2759	1
K15304	1322172at2759	5
K15304	1573143at2759	27
K15304	594351at2759	1
K15304	785280at2759	1
K15304	868947at2759	1
K15304	918488at2759	17
K15304	967373at2759	1
K01425	1049878at2759	1
K01425	1559479at2759	34
K01425	349094at2759	26
K17210		
K04578	1163977at2759	25
K04578	1476889at2759	129
K04578	651627at2759	117
K03035	337699at2759	19
K03035	763423at2759	71
K03035	937686at2759	23
K10205	1094172at2759	124
K01438	1432382at2759	57
K01438	733473at2759	39
K18562		
K15180	1088260at2759	6
K15180	1095614at2759	11
K22847		
K20377		
K13030	508327at2759	727
K19098		
K10798	1184498at2759	4
K10798	1550235at2759	4
K10798	1614305at2759	2
K10798	168062at2759	1
K10798	18682at2759	4
K10798	260352at2759	34
K10798	31682at2759	5
K10798	66737at2759	4
K10798	816947at2759	21
K10798	832568at2759	23
K10798	909382at2759	49
K10798	955432at2759	131
K03471		
K19003		
K03036		
K19842		
K04637		
K04006	1101732at2759	7
K04006	46968at2759	50
K17319		
K16953		
K05576	1388741at2759	3
K05576	1621687at2759	3
K07023	1076519at2759	20
K07023	1363142at2759	23
K07023	752233at2759	1
K05369		
K06897	839780at2759	2
K15796		
K02943	1626327at2759	48
K02943	1643562at2759	2
K11944		
K05696	411281at2759	407
K11829	641792at2759	34
K00895	347054at2759	18
K05251	1362225at2759	40
K11617		
K21333		
K21714		
K14958	281487at2759	31
K14958	829777at2759	110
K00983		
K15866		
K07794		
K25295		
K21071	448001at2759	24
K04624	136715at2759	19
K04624	188544at2759	473
K13911		
K09849	1637740at2759	1
K09849	364787at2759	1
K09849	819825at2759	9
K09849	918518at2759	154
K05351	1019156at2759	32
K05351	1116724at2759	56
K05351	1410605at2759	15
K00877	1077022at2759	2
K00877	1245353at2759	8
K10563	1467835at2759	34
K03037	1194691at2759	23
K03037	1406711at2759	30
K16446		
K06902	1460747at2759	4
K02932	1503991at2759	42
K02932	382325at2759	1
K02932	972481at2759	13
K02932	999609at2759	28
K04431	688282at2759	158
K06282		
K13815		
K00879		
K07648		
K11915		
K17634	69536at2759	43
K21335		
K00342		
K18424	999163at2759	91
K22229		
K00158		
K06756	434404at2759	50
K06756	655902at2759	55
K03904	357340at2759	85
K03268	243095at2759	37
K18952	1325947at2759	37
K18952	614710at2759	178
K14386	1180002at2759	49
K14386	327628at2759	31
K14386	678727at2759	3
K18653		
K10606	1002812at2759	13
K17321		
K04520	953529at2759	33
K01126	1143305at2759	34
K01126	1218115at2759	29
K01126	687958at2759	42
K03174	304754at2759	11
K03174	637422at2759	2
K03174	918518at2759	154
K02583	1220704at2759	86
K02583	1254770at2759	3
K02583	757160at2759	16
K12524	113181at2759	24
K12524	998704at2759	8
K16386		
K15910		
K00122	1226177at2759	9
K00122	1378766at2759	74
K00122	700058at2759	37
K00122	911009at2759	34
K05711		
K21588		
K03230		
K12654	865174at2759	11
K22554	1322443at2759	27
K17125		
K21673		
K04424	1703182at2759	1
K04424	173077at2759	59
K04424	206276at2759	13
K04424	938929at2759	57
K12105		
K01577		
K18391		
K21279		
K13258	1263520at2759	262
K25129		
K08377	1011272at2759	129
K08377	116799at2759	32
K12239		
K03573		
K15822	365003at2759	53
K04266	1186874at2759	12
K04266	260768at2759	2
K04266	550297at2759	55
K04266	968418at2759	17
K17399	1015783at2759	34
K17399	412711at2759	7
K19108		
K03345	1480705at2759	78
K19479	1167208at2759	26
K19479	1258047at2759	69
K19479	1295141at2759	58
K19479	852365at2759	1
K25304		
K02400	507937at2759	41
K14039		
K21272		
K06586	52951at2759	19
K01505	817780at2759	8
K04739	1013743at2759	35
K04739	1047290at2759	71
K04739	1073751at2759	180
K04739	1111983at2759	13
K04739	253518at2759	36
K04739	281394at2759	98
K04739	744999at2759	6
K04739	89752at2759	3
K00384	1108990at2759	17
K00384	405030at2759	41
K02474		
K19227		
K09261	729387at2759	34
K02293	1151887at2759	30
K02293	1578484at2759	25
K02293	367611at2759	25
K00247		
K16373		
K24658		
K03132	1348389at2759	29
K03132	411281at2759	407
K10884	265965at2759	34
K10884	402798at2759	20
K01353	1076876at2759	90
K01353	1144875at2759	20
K09758		
K06650	993640at2759	233
K07683		
K20270		
K12040	389547at2759	29
K12040	546232at2759	44
K12040	559433at2759	46
K10703	1042804at2759	63
K10703	1458293at2759	59
K04518	1090069at2759	25
K02509		
K18009		
K11213	1334080at2759	3
K04675	468106at2759	1
K04675	776697at2759	77
K06474	1133219at2759	1
K06474	1303808at2759	7
K21477		
K02224		
K16399		
K04348	463522at2759	66
K04348	989128at2759	1
K02922	1357618at2759	48
K02922	1560654at2759	36
K02922	164039at2759	29
K13425	1142302at2759	3
K13425	1235065at2759	4
K13425	1265105at2759	1
K13425	1376049at2759	44
K13425	847761at2759	24
K01469	1016440at2759	178
K01469	1439584at2759	25
K01469	296779at2759	2
K01469	390838at2759	1
K01469	62698at2759	24
K01469	824298at2759	111
K10191		
K04936	124461at2759	27
K04936	858812at2759	29
K01313	1314811at2759	1072
K01313	156878at2759	41
K11821	780670at2759	260
K19653		
K08550	487299at2759	18
K02417		
K04696	1135696at2759	39
K02902	1056670at2759	78
K02902	1322438at2759	1
K02902	1530852at2759	9
K02902	1558223at2759	11
K02902	1614134at2759	5
K02902	1631210at2759	1
K04507	1181437at2759	19
K04507	1584793at2759	1
K08599		
K20089		
K03136	1343016at2759	30
K08680		
K14306	1064324at2759	1
K14306	1082966at2759	4
K14306	1145183at2759	1
K14306	1233035at2759	1
K14306	1347422at2759	1
K14306	1420505at2759	10
K14306	367611at2759	25
K14306	996053at2759	1
K07530	1166960at2759	55
K10632	335630at2759	1
K10632	659103at2759	26
K21031	1356473at2759	16
K10546		
K16336	1362808at2759	9
K16336	1476863at2759	1
K16336	1507361at2759	9
K19200	872824at2759	6
K24406		
K01502		
K16816	1204225at2759	57
K15316	68112at2759	7
K18460	198413at2759	38
K08265		
K02452		
K01733	1361511at2759	34
K00451	795654at2759	23
K02210	266497at2759	169
K17608	334070at2759	39
K10726		
K01543	1104340at2759	67
K01543	998086at2759	52
K06720		
K01925		
K08722		
K18725	76544at2759	3
K06687	1156849at2759	2
K05142	1081476at2759	9
K13603		
K10995	1176140at2759	25
K12121	27870at2759	62
K12121	59136at2759	7
K12121	77253at2759	7
K18889		
K12708		
K01206	704138at2759	348
K01206	929780at2759	36
K05053	1255241at2759	23
K05053	890529at2759	71
K00026	1118998at2759	32
K00026	1204514at2759	46
K00026	612344at2759	108
K00026	976445at2759	41
K04813	381858at2759	101
K04813	406640at2759	3
K19768	1187096at2759	203
K05446	1403426at2759	3
K12472	138983at2759	8
K12472	597979at2759	41
K12472	807060at2759	25
K12472	936280at2759	18
K10550		
K02580	916931at2759	49
K09809		
K03991	1105722at2759	20
K03991	1222552at2759	23
K03991	1341167at2759	14
K00420	1609264at2759	3
K00420	1621371at2759	7
K00420	1650661at2759	1
K12674		
K01184	1028572at2759	141
K01184	181460at2759	13
K01184	601945at2759	10
K01184	674407at2759	168
K01184	884151at2759	68
K21024		
K23062		
K00634		
K01952	38224at2759	24
K02020		
K14496	1140159at2759	7
K14496	1238726at2759	5
K14496	1261133at2759	14
K14496	1267148at2759	5
K14496	1400653at2759	10
K14496	1432499at2759	3
K14496	1497050at2759	5
K11822	780670at2759	260
K11890		
K12649	1337630at2759	76
K12377	1433145at2759	1
K14503	1078944at2759	2
K14503	1120557at2759	5
K05486	1270530at2759	1
K05486	1502484at2759	18
K12776	1510589at2759	71
K12810		
K06209		
K09754	702827at2759	1009
K12098		
K00665	1085436at2759	38
K00665	127946at2759	22
K00665	1370439at2759	46
K00665	19161at2759	53
K00665	68112at2759	7
K12194	1301560at2759	25
K12194	1490465at2759	44
K12194	1540051at2759	2
K08180	1119570at2759	2
K08180	916876at2759	250
K15863		
K15243		
K18593		
K05472	1431273at2759	2
K05472	1557177at2759	1
K05472	1725231at2759	1
K05472	942863at2759	2
K18282		
K05647	131191at2759	165
K21787		
K12563	1407024at2759	27
K19981		
K05632	167687at2759	54
K00992		
K03857	1550378at2759	49
K03857	1623097at2759	36
K03857	719531at2759	21
K16952		
K22629		
K00735	901158at2759	83
K02011		
K12531		
K07905	1133775at2759	128
K07905	1340129at2759	165
K17918	1407986at2759	47
K21540		
K07298	1044255at2759	35
K07298	856506at2759	25
K16440		
K20671	1314811at2759	1072
K00417	1298800at2759	1
K00417	1606436at2759	24
K15099		
K00079	1259665at2759	76
K00079	805231at2759	1
K02594		
K03843	1326484at2759	63
K03843	1339573at2759	21
K03843	482876at2759	12
